Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-4.021,-71.031,67.01,5,8,4,2.0,0.075
-4.021,-70.941,66.92,5,10,4,2.0,0.071
-5.021,-71.404,66.383,5,11,4,1.0,0.0
-11.802,-79.688,67.886,5,12,4,2.0,0.667
-4.021,-70.57300000000001,66.552,5,14,4,2.0,0.019
-13.562999999999999,-80.764,67.201,5,16,4,2.0,0.774
-6.021,-72.66199999999999,66.64099999999999,5,17,4,0.0,0.0
-4.021,-70.561,66.54,5,18,4,2.0,0.0
-4.021,-70.681,66.66,5,20,4,2.0,0.0
-6.021,-72.105,66.084,5,21,4,0.0,0.0
-7.021,-72.988,65.967,5,23,4,-1.0,0.0
-7.021,-73.207,66.18599999999999,5,25,4,-1.5,0.0
-4.021,-70.766,66.745,5,26,4,2.0,0.107
-14.020999999999999,-80.79899999999999,66.77799999999999,5,27,4,2.0,0.0
-4.021,-70.581,66.56,5,30,4,2.0,0.0
-7.031000000000001,-73.793,66.762,5,31,4,2.0,0.0
-14.417,-81.98200000000001,67.56500000000001,5,32,4,2.0,0.894
-27.021,-92.39299999999999,65.37199999999999,6,1,1,-21.0,0.0
-27.021,-92.428,65.407,6,3,1,-21.0,0.0
-8.021,-73.45100000000001,65.43,6,4,1,-2.0,0.035
-27.021,-92.38799999999999,65.36699999999999,6,5,1,-21.0,0.0
-27.021,-92.434,65.413,6,7,1,-21.0,0.0
-7.021,-72.691,65.67,6,8,1,-1.0,0.07
-27.021,-92.412,65.391,6,9,1,-21.0,0.0
-7.021,-72.732,65.711,6,10,1,-1.0,0.071
-28.01,-93.38799999999999,65.37799999999999,6,11,1,-25.0,0.0
-27.021,-92.435,65.414,6,13,1,-21.0,0.0
-7.021,-72.48899999999999,65.46799999999999,6,14,1,-1.0,0.034
-28.01,-93.361,65.351,6,15,1,-25.0,0.0
-7.01,-72.45100000000001,65.441,6,16,1,-4.0,0.0
